x,y,z,visibility
0.41508933901786804,0.678439736366272,-0.03527669981122017,0.9992590546607971
0.3893711268901825,0.683944582939148,-0.07871006429195404,0.9994286894798279
0.38544052839279175,0.6808070540428162,-0.07872294634580612,0.9994189739227295
0.38141146302223206,0.6769024729728699,-0.07882113009691238,0.99945467710495
0.3897712528705597,0.684441089630127,-0.01875920034945011,0.9994572997093201
0.3861473798751831,0.6821045875549316,-0.018750382587313652,0.9993938207626343
0.3822765052318573,0.6790683269500732,-0.01865347847342491,0.9993901252746582
0.3612649142742157,0.6352447271347046,-0.19647568464279175,0.9989701509475708
0.3647146224975586,0.6389372944831848,0.08405915647745132,0.9991725087165833
0.41800835728645325,0.6493386030197144,-0.06701243668794632,0.9986818432807922
0.4191201627254486,0.6515029668807983,0.014281654730439186,0.9982120990753174
0.3783470690250397,0.5253437757492065,-0.2565714120864868,0.9988975524902344
0.38575348258018494,0.523137092590332,0.20786014199256897,0.9956542253494263
0.26554539799690247,0.6975851058959961,-0.47745469212532043,0.9896717071533203
0.279780775308609,0.6787108182907104,0.3346954584121704,0.20463640987873077
0.13564342260360718,0.8399115800857544,-0.4082046449184418,0.9814788103103638
0.1732732355594635,0.7884871959686279,0.11928660422563553,0.5512494444847107
0.09582269191741943,0.8519366979598999,-0.465790718793869,0.9733728766441345
0.12833118438720703,0.8054436445236206,0.11250420659780502,0.7023363709449768
0.09213864803314209,0.8448716402053833,-0.41185763478279114,0.9688321352005005
0.1270795464515686,0.8081986904144287,0.0632966086268425,0.7106463313102722
0.10628098249435425,0.8413612842559814,-0.387177050113678,0.9569600224494934
0.13980436325073242,0.8061189651489258,0.09370871633291245,0.715535581111908
0.6730455160140991,0.19620323181152344,-0.20125646889209747,0.9971573352813721
0.661170482635498,0.20962823927402496,0.20168691873550415,0.9955332279205322
0.7116387486457825,0.5610812306404114,-0.10347945988178253,0.984308660030365
0.7061724662780762,0.5544461607933044,0.29316896200180054,0.3346080482006073
0.9167155027389526,0.7517718076705933,0.053988661617040634,0.9802553653717041
0.8949424028396606,0.7353935241699219,0.4684326648712158,0.399629145860672
0.9571706056594849,0.781662106513977,0.06082458421587944,0.9724647402763367
0.9319594502449036,0.7665220499038696,0.4792044162750244,0.46747228503227234
0.833584725856781,0.8546050786972046,-0.030171331018209457,0.969617486000061
0.8218681812286377,0.8348357677459717,0.4366072118282318,0.5402866005897522
